,imdb_title_id,title,original_title,year,date_published,genre,country,avg_vote,votes,budget,usa_gross_income,metascore,reviews_from_users,reviews_from_critics
78421,tt2197776,Training for a Fight,Training for a Fight,2012,7/10/2012,"Action, Drama, Sport",USA,1.4,149,RUR 500000,,,1.0,
75212,tt0088751,The Naked Monster,The Naked Monster,2005,4/22/2005,"Comedy, Horror, Sci-Fi",USA,5.4,264,PYG 350000000,,,15.0,8.0
35397,tt0110169,It's Pat: The Movie,It's Pat: The Movie,1994,11/25/1994,Comedy,USA,2.7,9238,GBP 8000000,"$60,822 ",,122.0,12.0
37353,tt0044788,Kangarù,Kangaroo,1952,6/1/1952,"Adventure, Drama, Western",USA,5.5,258,GBP 800000,,,7.0,7.0
55017,tt0039737,Notte senza fine,Pursued,1947,1/30/1948,"Drama, Mystery, Romance",USA,7.2,2773,GBP 610000,,,45.0,41.0
40179,tt0022268,La donna di platino,Platinum Blonde,1931,11/1/1933,"Comedy, Romance",USA,6.9,2719,GBP 600000,,,60.0,27.0
45168,tt0055719,L'eroe di Sparta,The 300 Spartans,1962,10/1/1962,"Adventure, Drama, History",USA,6.6,6500,GBP 500000,,,111.0,22.0
76258,tt1525898,The Space Between,The Space Between,2010,9/11/2011,Drama,USA,6.6,627,GBP 15000,,,6.0,8.0
62110,tt1103256,Red sands - La forza occulta,Red Sands,2009,3/25/2009,"Action, Horror, Thriller",USA,4.2,3297,GBP 1500,,,32.0,20.0
4033,tt9062580,Alone,Alone,2019,5/20/2019,"Adventure, Drama, Sci-Fi",USA,6.4,206,EUR 570000,,,,
28728,tt1524130,Hitler's Grave,Hitler's Grave,2010,10/21/2011,Drama,USA,3.6,362,EUR 2300000,,,14.0,
54636,tt0425308,Noise,Noise,2007,11/25/2009,"Comedy, Crime, Drama",USA,6.2,4164,EUR 2000,"$16,513 ",55.0,29.0,32.0
